row_ind,player_name,season,transfer_date,team_from,team_to,market_value,transfer_value,contract_expiry,player_url,query_date,timestamp,blob,player_id,teams_url,team_id,player_transfer_id,ID,nombre,transferId,fromTeamId,fromTeamName,toTeamId,toTeamName,active,startDate,endDate,type,value,currency,announceDate,playerId
5,aaron martin,21/22,2022-01-24,harrogate town,halifax town,NA,NA,2023-06-30,https://www.transfermarkt.com/aaron-martin/profil/spieler/796677,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 39077,796677,https://www.transfermarkt.com/fc-gateshead/startseite/verein/3456/saison_id/2022,3456,202201243456796677,harrogate town_halifax town_2022_1,aaron martin,1567419,1752,harrogate town,1714,halifax town,0,2022-01-24,2022-04-16,Loan,0,EUR,,678715
1,aaron martin,23/24,2023-08-02,gateshead,south shields,NA,NA,2024-06-30,https://www.transfermarkt.com/aaron-martin/profil/spieler/136581,2023-10-02,2023-09-30 22:31:31+00:00,,136581,https://www.transfermarkt.com/eastleigh-fc/startseite/verein/10391/saison_id/2022,10391,2023080210391136581,gateshead_south shields_2023_8,aaron martin,2019286,1806,gateshead,22484,south shields,0,2023-08-02,2024-07-01,Free Transfer,0,EUR,,678715
16,aaron martin,12/13,2012-07-01,southampton,crystal palace,150000,NA,NA,https://www.transfermarkt.com/aaron-martin/profil/spieler/136581,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21162,136581,https://www.transfermarkt.com/eastleigh-fc/startseite/verein/10391/saison_id/2022,10391,2012070110391136581,southampton_crystal palace_2012_7,aaron martin,93402,1619,southampton,1628,crystal palace,0,2012-07-01,2013-01-03,Loan,0,,2012-06-11,8131
3,aaron martin,22/23,2022-07-09,harrogate town,gateshead,NA,0,2023-06-30,https://www.transfermarkt.com/aaron-martin/profil/spieler/796677,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 39077,796677,https://www.transfermarkt.com/fc-gateshead/startseite/verein/3456/saison_id/2022,3456,202207093456796677,harrogate town_gateshead_2022_7,aaron martin,1687927,1752,harrogate town,1806,gateshead,0,2022-07-09,2023-08-02,Transfer,0,EUR,,678715
6,aaron martin,18/19,2018-07-01,oxford united,exeter city,2e+05,0,NA,https://www.transfermarkt.com/aaron-martin/profil/spieler/136581,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21162,136581,https://www.transfermarkt.com/eastleigh-fc/startseite/verein/10391/saison_id/2022,10391,2018070110391136581,oxford united_exeter city_2018_7,aaron martin,613450,1683,oxford united,1703,exeter city,0,2018-07-01,2020-07-02,Free Transfer,0,EUR,,8131
1,aaron martin,22/23,2022-07-08,port vale,eastleigh,NA,NA,2023-06-30,https://www.transfermarkt.com/aaron-martin/profil/spieler/796677,2023-10-03,2023-09-30 22:31:31+00:00,,796677,https://www.transfermarkt.com/fc-gateshead/startseite/verein/3456/saison_id/2022,3456,202207083456796677,port vale_eastleigh_2022_7,aaron martin,1714608,1658,port vale,1772,eastleigh,0,2022-07-01,2024-07-01,Transfer,0,EUR,,8131
2,aaron martin,23/24,2023-08-02,gateshead,south shields,NA,NA,2024-06-30,https://www.transfermarkt.com/aaron-martin/profil/spieler/796677,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 39077,796677,https://www.transfermarkt.com/fc-gateshead/startseite/verein/3456/saison_id/2022,3456,202308023456796677,gateshead_south shields_2023_8,aaron martin,2019286,1806,gateshead,22484,south shields,0,2023-08-02,2024-07-01,Free Transfer,0,EUR,,678715
6,aaron mceneff,18/19,2019-01-01,derry city,shamrock rovers,NA,0,NA,https://www.transfermarkt.com/aaron-mceneff/profil/spieler/167264,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36865,167264,https://www.transfermarkt.com/perth-glory/startseite/verein/970/saison_id/2022,970,20190101970167264,derry city_shamrock rovers_2019_1,aaron mceneff,727019,10846,derry city,8152,shamrock rovers,0,2019-01-01,2021-02-01,Transfer,0,EUR,,136699
3,aaron mceneff,23/24,2024-01-19,perth glory,shamrock rovers,350000,NA,2025-06-30,https://www.transfermarkt.com/aaron-mceneff/profil/spieler/167264,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36865,167264,https://www.transfermarkt.com/perth-glory/startseite/verein/970/saison_id/2022,970,20240119970167264,perth glory_shamrock rovers_2024_1,aaron mceneff,2197347,8301,perth glory,8152,shamrock rovers,0,2024-01-19,2024-11-30,Loan,0,EUR,,136699
2,aaron mceneff,24/25,2024-11-30,shamrock rovers,perth glory,325000,NA,NA,https://www.transfermarkt.com/aaron-mceneff/profil/spieler/167264,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36865,167264,https://www.transfermarkt.com/perth-glory/startseite/verein/970/saison_id/2022,970,20241130970167264,shamrock rovers_perth glory_2024_11,aaron mceneff,2197348,8152,shamrock rovers,8301,perth glory,0,2024-11-30,2025-01-01,Back from Loan,0,EUR,,136699
